complaint_text,category,priority
please resolve the water wastage at the main market; it has continued for three days. it is causing inconvenience.,Water Supply,Normal
please resolve the broken road in sector 12; it has continued for one day. it is please check.,Roads & Transport,Normal
please check. i want to report low water pressure outside the school. the problem started a week ago.,Water Supply,Normal
requesting repair. there is transformer noise outside the school since two hours.,Electricity,Normal
i want to report stray animal at the main market. the problem started a week ago. it is causing inconvenience.,Public Safety,Normal
please inspect. there is broken road beside the park since three days.,Roads & Transport,Normal
please resolve the traffic signal at the main market; it has continued for a week. it is please check.,Roads & Transport,Normal
needs attention. residents are affected by damaged footpath at the main market for three days.,Roads & Transport,Normal
kindly resolve. i want to report irregular supply at the crossing. the problem started three days ago.,Water Supply,Normal
kindly resolve. i want to report frequent disconnection in our lane. the problem started several weeks ago.,Internet & Telecom,Normal
immediate help needed. the local authority has not fixed the unclean public toilet beside the park for several weeks.,Sanitation,Urgent
please inspect. i want to report bus delay in our lane. the problem started one day ago.,Roads & Transport,Normal
requesting repair. the local authority has not fixed the meter fault at the main market for several weeks.,Electricity,Normal
there is missing road sign near the bus stand since three days. it is needs attention.,Roads & Transport,Normal
residents are affected by exposed cable at the main market for two hours. it is please check.,Public Safety,Normal
emergency. please resolve the electricity outage near my house; it has continued for two hours.,Electricity,Urgent
please inspect. residents are affected by overflowing dustbin near the bus stand for two hours.,Sanitation,Normal
requesting repair. the local authority has not fixed the street light at the crossing for a week.,Electricity,Normal
i want to report open dumping near the bus stand. the problem started a week ago. it is please check.,Sanitation,Normal
i want to report missing road sign in our lane. the problem started two hours ago. it is children are at risk.,Roads & Transport,Urgent
emergency. please resolve the damaged cable outside the school; it has continued for a week.,Internet & Telecom,Urgent
emergency. residents are affected by slow broadband beside the park for one day.,Internet & Telecom,Urgent
please resolve the pipeline leak outside the school; it has continued for one day. it is please check.,Water Supply,Normal
there is broken road in our lane since three days. it is kindly resolve.,Roads & Transport,Normal
please resolve the damaged railing outside the school; it has continued for one day. it is causing inconvenience.,Public Safety,Normal
dangerous. the local authority has not fixed the meter fault in sector 12 for two hours.,Electricity,Urgent
needs attention. i want to report sewage mixed water at the crossing. the problem started two hours ago.,Water Supply,Normal
severe. i want to report no signal near the bus stand. the problem started three days ago.,Internet & Telecom,Urgent
i want to report irregular supply near my house. the problem started a week ago. it is please check.,Water Supply,Normal
i want to report low water pressure outside the school. the problem started three days ago. it is needs attention.,Water Supply,Normal
please check. there is low voltage in our lane since several weeks.,Electricity,Normal
please resolve the broken water pipe in our lane; it has continued for several weeks. it is please check.,Water Supply,Normal
requesting repair. please resolve the meter fault near my house; it has continued for one day.,Electricity,Normal
there is damaged footpath beside the park since several weeks. it is needs attention.,Roads & Transport,Normal
kindly resolve. residents are affected by bad smell at the main market for two hours.,Sanitation,Normal
i want to report electric pole in sector 12. the problem started several weeks ago. it is please check.,Electricity,Normal
please inspect. residents are affected by electricity outage near my house for a week.,Electricity,Normal
there is street light at the main market since one day. it is needs attention.,Electricity,Normal
needs attention. there is internet down at the main market since three days.,Internet & Telecom,Normal
kindly resolve. residents are affected by mobile network near my house for one day.,Internet & Telecom,Normal
there is slow broadband near my house since two hours. it is requesting repair.,Internet & Telecom,Normal
residents are affected by water wastage at the main market for a week. it is please inspect.,Water Supply,Normal
kindly resolve. there is no signal in our lane since a week.,Internet & Telecom,Normal
needs attention. please resolve the garbage pile near my house; it has continued for three days.,Sanitation,Normal
please check. there is power cut at the main market since one day.,Electricity,Normal
please resolve the bus delay in sector 12; it has continued for three days. it is needs attention.,Roads & Transport,Normal
kindly resolve. i want to report missed waste collection beside the park. the problem started a week ago.,Sanitation,Normal
i want to report missing road sign beside the park. the problem started one day ago. it is requesting repair.,Roads & Transport,Normal
emergency. there is frequent disconnection in sector 12 since three days.,Internet & Telecom,Urgent
requesting repair. please resolve the garbage pile near the bus stand; it has continued for a week.,Sanitation,Normal
dangerous. residents are affected by water wastage at the main market for three days.,Water Supply,Urgent
accident may happen. i want to report blocked drain beside the park. the problem started three days ago.,Sanitation,Urgent
residents are affected by open manhole outside the school for one day. it is needs attention.,Public Safety,Normal
please resolve the missed waste collection at the crossing; it has continued for several weeks. it is severe.,Sanitation,Urgent
i want to report bus delay at the crossing. the problem started several weeks ago. it is causing inconvenience.,Roads & Transport,Normal
needs attention. there is damaged cable in sector 12 since three days.,Internet & Telecom,Normal
residents are affected by waterlogged road near the bus stand for two hours. it is children are at risk.,Roads & Transport,Urgent
people may get hurt. the local authority has not fixed the garbage pile near my house for two hours.,Sanitation,Urgent
there is waterlogged road near my house since several weeks. it is please inspect.,Roads & Transport,Normal
there is electricity outage near the bus stand since two hours. it is please inspect.,Electricity,Normal
there is dark street at the crossing since several weeks. it is requesting repair.,Public Safety,Normal
please check. the local authority has not fixed the fallen tree in our lane for a week.,Public Safety,Normal
the local authority has not fixed the damaged railing beside the park for one day. it is please inspect.,Public Safety,Normal
requesting repair. the local authority has not fixed the slow broadband near my house for several weeks.,Internet & Telecom,Normal
requesting repair. please resolve the pothole in our lane; it has continued for several weeks.,Roads & Transport,Normal
please resolve the slow broadband in our lane; it has continued for two hours. it is people may get hurt.,Internet & Telecom,Urgent
residents are affected by overflowing dustbin in our lane for two hours. it is requesting repair.,Sanitation,Normal
residents are affected by garbage pile near my house for several weeks. it is requesting repair.,Sanitation,Normal
causing inconvenience. i want to report router outage in sector 12. the problem started three days ago.,Internet & Telecom,Normal
kindly resolve. the local authority has not fixed the dirty water at the crossing for several weeks.,Water Supply,Normal
please resolve the damaged cable outside the school; it has continued for a week. it is please check.,Internet & Telecom,Normal
people may get hurt. there is street light at the crossing since two hours.,Electricity,Urgent
requesting repair. the local authority has not fixed the bad smell at the main market for two hours.,Sanitation,Normal
kindly resolve. i want to report poor coverage in sector 12. the problem started one day ago.,Internet & Telecom,Normal
the local authority has not fixed the low water pressure in our lane for three days. it is please inspect.,Water Supply,Normal
needs attention. there is unclean public toilet near the bus stand since one day.,Sanitation,Normal
there is garbage pile outside the school since a week. it is children are at risk.,Sanitation,Urgent
please check. the local authority has not fixed the damaged railing near my house for three days.,Public Safety,Normal
please resolve the unsafe construction in our lane; it has continued for three days. it is please inspect.,Public Safety,Normal
kindly resolve. there is pothole near the bus stand since one day.,Roads & Transport,Normal
there is frequent disconnection in our lane since three days. it is requesting repair.,Internet & Telecom,Normal
please check. there is sewage mixed water at the crossing since two hours.,Water Supply,Normal
the local authority has not fixed the blocked drain near my house for a week. it is severe.,Sanitation,Urgent
kindly resolve. residents are affected by garbage pile in our lane for several weeks.,Sanitation,Normal
causing inconvenience. please resolve the open dumping at the crossing; it has continued for two hours.,Sanitation,Normal
requesting repair. residents are affected by water wastage at the main market for a week.,Water Supply,Normal
there is damaged railing outside the school since a week. it is requesting repair.,Public Safety,Normal
severe. i want to report bad smell near the bus stand. the problem started one day ago.,Sanitation,Urgent
accident may happen. residents are affected by dark street in sector 12 for three days.,Public Safety,Urgent
please check. the local authority has not fixed the missing road sign near the bus stand for several weeks.,Roads & Transport,Normal
please check. there is electricity outage near the bus stand since two hours.,Electricity,Normal
please resolve the damaged footpath outside the school; it has continued for one day. it is causing inconvenience.,Roads & Transport,Normal
please check. there is mosquito breeding beside the park since three days.,Sanitation,Normal
please check. i want to report irregular supply outside the school. the problem started one day ago.,Water Supply,Normal
please resolve the transformer noise outside the school; it has continued for two hours. it is please check.,Electricity,Normal
kindly resolve. the local authority has not fixed the dark street near my house for three days.,Public Safety,Normal
please inspect. there is unclean public toilet in sector 12 since two hours.,Sanitation,Normal
please check. i want to report meter fault beside the park. the problem started one day ago.,Electricity,Normal
please resolve the pipeline leak outside the school; it has continued for three days. it is needs attention.,Water Supply,Normal
please check. there is bad smell at the crossing since three days.,Sanitation,Normal
please resolve the blocked drain at the crossing; it has continued for three days. it is kindly resolve.,Sanitation,Normal
kindly resolve. i want to report transformer noise at the main market. the problem started several weeks ago.,Electricity,Normal
children are at risk. there is open dumping in sector 12 since several weeks.,Sanitation,Urgent
please resolve the exposed cable at the crossing; it has continued for several weeks. it is immediate help needed.,Public Safety,Urgent
the local authority has not fixed the irregular supply near the bus stand for several weeks. it is immediate help needed.,Water Supply,Urgent
needs attention. residents are affected by no signal beside the park for two hours.,Internet & Telecom,Normal
please inspect. please resolve the fire hazard at the crossing; it has continued for one day.,Public Safety,Normal
kindly resolve. the local authority has not fixed the transformer noise near my house for several weeks.,Electricity,Normal
causing inconvenience. please resolve the mobile network at the main market; it has continued for several weeks.,Internet & Telecom,Normal
the local authority has not fixed the blocked drain beside the park for one day. it is accident may happen.,Sanitation,Urgent
there is exposed cable near the bus stand since three days. it is accident may happen.,Public Safety,Urgent
immediate help needed. residents are affected by low voltage in sector 12 for one day.,Electricity,Urgent
please check. please resolve the sparking wire outside the school; it has continued for three days.,Electricity,Normal
please resolve the open dumping at the crossing; it has continued for a week. it is requesting repair.,Sanitation,Normal
i want to report meter fault in sector 12. the problem started a week ago. it is immediate help needed.,Electricity,Urgent
the local authority has not fixed the power cut near the bus stand for three days. it is kindly resolve.,Electricity,Normal
causing inconvenience. i want to report open manhole at the crossing. the problem started several weeks ago.,Public Safety,Normal
the local authority has not fixed the slow broadband near the bus stand for two hours. it is people may get hurt.,Internet & Telecom,Urgent
please resolve the low voltage at the crossing; it has continued for three days. it is people may get hurt.,Electricity,Urgent
residents are affected by damaged cable in our lane for two hours. it is please inspect.,Internet & Telecom,Normal
residents are affected by street light beside the park for two hours. it is immediate help needed.,Electricity,Urgent
the local authority has not fixed the poor coverage near my house for one day. it is accident may happen.,Internet & Telecom,Urgent
please inspect. please resolve the broken water pipe near the bus stand; it has continued for three days.,Water Supply,Normal
causing inconvenience. residents are affected by bad smell in sector 12 for a week.,Sanitation,Normal
emergency. residents are affected by stray animal beside the park for one day.,Public Safety,Urgent
please resolve the sewage mixed water at the crossing; it has continued for a week. it is dangerous.,Water Supply,Urgent
the local authority has not fixed the missing road sign near the bus stand for two hours. it is requesting repair.,Roads & Transport,Normal
requesting repair. i want to report unclean public toilet in sector 12. the problem started a week ago.,Sanitation,Normal
people may get hurt. residents are affected by frequent disconnection beside the park for a week.,Internet & Telecom,Urgent
the local authority has not fixed the frequent disconnection outside the school for a week. it is kindly resolve.,Internet & Telecom,Normal
please resolve the garbage pile in our lane; it has continued for a week. it is people may get hurt.,Sanitation,Urgent
kindly resolve. i want to report broken water pipe in sector 12. the problem started two hours ago.,Water Supply,Normal
severe. please resolve the exposed cable in sector 12; it has continued for one day.,Public Safety,Urgent
please resolve the bad smell near my house; it has continued for two hours. it is needs attention.,Sanitation,Normal
emergency. residents are affected by stray animal in our lane for three days.,Public Safety,Urgent
i want to report traffic signal in our lane. the problem started three days ago. it is immediate help needed.,Roads & Transport,Urgent
there is no signal near the bus stand since two hours. it is requesting repair.,Internet & Telecom,Normal
i want to report traffic signal outside the school. the problem started a week ago. it is please inspect.,Roads & Transport,Normal
needs attention. there is traffic signal at the crossing since several weeks.,Roads & Transport,Normal
requesting repair. i want to report dirty water at the crossing. the problem started three days ago.,Water Supply,Normal
requesting repair. there is bad smell at the main market since two hours.,Sanitation,Normal
there is electric pole at the main market since one day. it is requesting repair.,Electricity,Normal
please resolve the open manhole near my house; it has continued for a week. it is please inspect.,Public Safety,Normal
the local authority has not fixed the irregular supply in our lane for one day. it is kindly resolve.,Water Supply,Normal
there is missing road sign near the bus stand since several weeks. it is please inspect.,Roads & Transport,Normal
the local authority has not fixed the garbage pile near the bus stand for three days. it is requesting repair.,Sanitation,Normal
residents are affected by broken road beside the park for several weeks. it is people may get hurt.,Roads & Transport,Urgent
needs attention. i want to report pothole beside the park. the problem started two hours ago.,Roads & Transport,Normal
please check. residents are affected by power cut beside the park for a week.,Electricity,Normal
please resolve the unsafe construction outside the school; it has continued for several weeks. it is please inspect.,Public Safety,Normal
requesting repair. there is internet down near my house since one day.,Internet & Telecom,Normal
needs attention. residents are affected by open dumping in sector 12 for one day.,Sanitation,Normal
residents are affected by poor coverage beside the park for one day. it is children are at risk.,Internet & Telecom,Urgent
please check. the local authority has not fixed the fire hazard beside the park for a week.,Public Safety,Normal
please check. i want to report electricity outage near the bus stand. the problem started two hours ago.,Electricity,Normal
please check. i want to report mosquito breeding near the bus stand. the problem started two hours ago.,Sanitation,Normal
causing inconvenience. the local authority has not fixed the unsafe construction in sector 12 for three days.,Public Safety,Normal
accident may happen. please resolve the low water pressure in our lane; it has continued for several weeks.,Water Supply,Urgent
please resolve the stray animal in our lane; it has continued for two hours. it is children are at risk.,Public Safety,Urgent
needs attention. residents are affected by dirty water at the main market for two hours.,Water Supply,Normal
causing inconvenience. residents are affected by overflowing dustbin near my house for a week.,Sanitation,Normal
the local authority has not fixed the unsafe crossing outside the school for one day. it is dangerous.,Roads & Transport,Urgent
requesting repair. the local authority has not fixed the irregular supply outside the school for one day.,Water Supply,Normal
residents are affected by irregular supply beside the park for two hours. it is causing inconvenience.,Water Supply,Normal
please resolve the unsafe crossing near the bus stand; it has continued for three days. it is please check.,Roads & Transport,Normal
please resolve the frequent disconnection near the bus stand; it has continued for several weeks. it is kindly resolve.,Internet & Telecom,Normal
residents are affected by unsafe crossing at the crossing for two hours. it is requesting repair.,Roads & Transport,Normal
needs attention. the local authority has not fixed the no signal beside the park for three days.,Internet & Telecom,Normal
needs attention. i want to report dirty water in our lane. the problem started three days ago.,Water Supply,Normal
please check. residents are affected by sewage mixed water at the crossing for a week.,Water Supply,Normal
there is router outage in our lane since several weeks. it is children are at risk.,Internet & Telecom,Urgent
immediate help needed. the local authority has not fixed the unsafe crossing in our lane for three days.,Roads & Transport,Urgent
people may get hurt. i want to report bad smell in our lane. the problem started several weeks ago.,Sanitation,Urgent
requesting repair. residents are affected by bad smell at the main market for three days.,Sanitation,Normal
residents are affected by pothole in sector 12 for several weeks. it is children are at risk.,Roads & Transport,Urgent
please resolve the no signal near the bus stand; it has continued for one day. it is please check.,Internet & Telecom,Normal
please resolve the unclean public toilet at the main market; it has continued for a week. it is please check.,Sanitation,Normal
residents are affected by mosquito breeding at the main market for three days. it is accident may happen.,Sanitation,Urgent
there is unsafe construction beside the park since a week. it is needs attention.,Public Safety,Normal
there is damaged footpath near my house since a week. it is causing inconvenience.,Roads & Transport,Normal
severe. residents are affected by bad smell at the crossing for several weeks.,Sanitation,Urgent
needs attention. the local authority has not fixed the power cut in sector 12 for several weeks.,Electricity,Normal
the local authority has not fixed the water wastage near the bus stand for two hours. it is emergency.,Water Supply,Urgent
causing inconvenience. i want to report pipeline leak near the bus stand. the problem started a week ago.,Water Supply,Normal
i want to report irregular supply in sector 12. the problem started two hours ago. it is requesting repair.,Water Supply,Normal
kindly resolve. the local authority has not fixed the mobile network outside the school for a week.,Internet & Telecom,Normal
accident may happen. i want to report no signal at the crossing. the problem started several weeks ago.,Internet & Telecom,Urgent
the local authority has not fixed the damaged cable in our lane for two hours. it is please check.,Internet & Telecom,Normal
kindly resolve. the local authority has not fixed the street light outside the school for several weeks.,Electricity,Normal
i want to report electricity outage at the main market. the problem started three days ago. it is please check.,Electricity,Normal
causing inconvenience. i want to report internet down in our lane. the problem started two hours ago.,Internet & Telecom,Normal
residents are affected by broken water pipe near the bus stand for two hours. it is dangerous.,Water Supply,Urgent
i want to report dark street outside the school. the problem started several weeks ago. it is causing inconvenience.,Public Safety,Normal
please resolve the mobile network outside the school; it has continued for one day. it is severe.,Internet & Telecom,Urgent
children are at risk. residents are affected by exposed cable beside the park for a week.,Public Safety,Urgent
please inspect. i want to report dirty water at the main market. the problem started two hours ago.,Water Supply,Normal
please check. there is slow broadband at the crossing since one day.,Internet & Telecom,Normal
the local authority has not fixed the mosquito breeding beside the park for two hours. it is causing inconvenience.,Sanitation,Normal
i want to report low water pressure outside the school. the problem started three days ago. it is children are at risk.,Water Supply,Urgent
there is router outage near the bus stand since several weeks. it is please inspect.,Internet & Telecom,Normal
kindly resolve. there is pipeline leak near my house since three days.,Water Supply,Normal
kindly resolve. there is exposed cable outside the school since one day.,Public Safety,Normal
the local authority has not fixed the missing road sign near the bus stand for two hours. it is emergency.,Roads & Transport,Urgent
dangerous. the local authority has not fixed the unclean public toilet at the crossing for two hours.,Sanitation,Urgent
the local authority has not fixed the sewage mixed water at the crossing for a week. it is needs attention.,Water Supply,Normal
kindly resolve. please resolve the dirty water at the main market; it has continued for several weeks.,Water Supply,Normal
severe. residents are affected by irregular supply outside the school for a week.,Water Supply,Urgent
residents are affected by traffic signal at the crossing for a week. it is please inspect.,Roads & Transport,Normal
requesting repair. i want to report transformer noise at the crossing. the problem started a week ago.,Electricity,Normal
please resolve the missed waste collection outside the school; it has continued for three days. it is kindly resolve.,Sanitation,Normal
people may get hurt. i want to report dirty water beside the park. the problem started several weeks ago.,Water Supply,Urgent
please inspect. please resolve the unsafe construction in sector 12; it has continued for a week.,Public Safety,Normal
causing inconvenience. i want to report pipeline leak outside the school. the problem started a week ago.,Water Supply,Normal
requesting repair. the local authority has not fixed the electric pole near the bus stand for one day.,Electricity,Normal
emergency. i want to report transformer noise in our lane. the problem started a week ago.,Electricity,Urgent
causing inconvenience. please resolve the unclean public toilet at the main market; it has continued for one day.,Sanitation,Normal
causing inconvenience. i want to report fire hazard near my house. the problem started three days ago.,Public Safety,Normal
kindly resolve. please resolve the router outage at the crossing; it has continued for three days.,Internet & Telecom,Normal
immediate help needed. please resolve the traffic signal in our lane; it has continued for a week.,Roads & Transport,Urgent
children are at risk. please resolve the unclean public toilet outside the school; it has continued for several weeks.,Sanitation,Urgent
dangerous. i want to report internet down in our lane. the problem started two hours ago.,Internet & Telecom,Urgent
please resolve the power cut at the main market; it has continued for several weeks. it is needs attention.,Electricity,Normal
i want to report traffic signal at the crossing. the problem started three days ago. it is please check.,Roads & Transport,Normal
emergency. residents are affected by power cut near my house for three days.,Electricity,Urgent
immediate help needed. please resolve the sewage mixed water in sector 12; it has continued for a week.,Water Supply,Urgent
kindly resolve. please resolve the dark street near my house; it has continued for three days.,Public Safety,Normal
there is damaged cable at the crossing since a week. it is causing inconvenience.,Internet & Telecom,Normal
requesting repair. please resolve the open manhole beside the park; it has continued for three days.,Public Safety,Normal
please inspect. the local authority has not fixed the slow broadband in sector 12 for several weeks.,Internet & Telecom,Normal
dangerous. please resolve the overflowing dustbin near the bus stand; it has continued for one day.,Sanitation,Urgent
please check. there is dark street in sector 12 since several weeks.,Public Safety,Normal
people may get hurt. please resolve the poor coverage near the bus stand; it has continued for several weeks.,Internet & Telecom,Urgent
please resolve the no signal beside the park; it has continued for several weeks. it is children are at risk.,Internet & Telecom,Urgent
the local authority has not fixed the open dumping beside the park for one day. it is emergency.,Sanitation,Urgent
please resolve the unclean public toilet near the bus stand; it has continued for one day. it is please check.,Sanitation,Normal
please resolve the dark street near my house; it has continued for a week. it is accident may happen.,Public Safety,Urgent
i want to report broken water pipe outside the school. the problem started three days ago. it is please inspect.,Water Supply,Normal
needs attention. there is no signal at the main market since one day.,Internet & Telecom,Normal
please inspect. i want to report stray animal at the crossing. the problem started three days ago.,Public Safety,Normal
causing inconvenience. residents are affected by waterlogged road at the main market for one day.,Roads & Transport,Normal
the local authority has not fixed the sparking wire at the crossing for one day. it is accident may happen.,Electricity,Urgent
there is power cut near the bus stand since one day. it is emergency.,Electricity,Urgent
severe. i want to report mobile network in our lane. the problem started two hours ago.,Internet & Telecom,Urgent
please check. the local authority has not fixed the frequent disconnection in our lane for a week.,Internet & Telecom,Normal
emergency. residents are affected by electricity outage near the bus stand for a week.,Electricity,Urgent
please inspect. please resolve the open dumping at the crossing; it has continued for several weeks.,Sanitation,Normal
the local authority has not fixed the blocked drain beside the park for two hours. it is causing inconvenience.,Sanitation,Normal
please resolve the street light near the bus stand; it has continued for several weeks. it is people may get hurt.,Electricity,Urgent
severe. residents are affected by low voltage near my house for two hours.,Electricity,Urgent
i want to report fallen tree near my house. the problem started three days ago. it is people may get hurt.,Public Safety,Urgent
please resolve the sewage mixed water near my house; it has continued for several weeks. it is kindly resolve.,Water Supply,Normal
please inspect. the local authority has not fixed the bus delay in our lane for a week.,Roads & Transport,Normal
i want to report unsafe construction beside the park. the problem started a week ago. it is please inspect.,Public Safety,Normal
the local authority has not fixed the fallen tree near the bus stand for several weeks. it is requesting repair.,Public Safety,Normal
emergency. i want to report transformer noise beside the park. the problem started two hours ago.,Electricity,Urgent
severe. residents are affected by fire hazard in our lane for a week.,Public Safety,Urgent
immediate help needed. there is router outage near my house since several weeks.,Internet & Telecom,Urgent
causing inconvenience. residents are affected by fire hazard outside the school for three days.,Public Safety,Normal
accident may happen. please resolve the stray animal near my house; it has continued for several weeks.,Public Safety,Urgent
kindly resolve. residents are affected by transformer noise beside the park for one day.,Electricity,Normal
residents are affected by traffic signal in sector 12 for three days. it is causing inconvenience.,Roads & Transport,Normal
please check. i want to report garbage pile in our lane. the problem started three days ago.,Sanitation,Normal
severe. there is missed waste collection at the main market since several weeks.,Sanitation,Urgent
causing inconvenience. residents are affected by internet down in our lane for several weeks.,Internet & Telecom,Normal
needs attention. there is damaged footpath beside the park since several weeks.,Roads & Transport,Normal
causing inconvenience. residents are affected by open manhole in sector 12 for one day.,Public Safety,Normal
accident may happen. residents are affected by low voltage near my house for several weeks.,Electricity,Urgent
kindly resolve. i want to report waterlogged road near my house. the problem started several weeks ago.,Roads & Transport,Normal
there is mosquito breeding at the crossing since three days. it is requesting repair.,Sanitation,Normal
causing inconvenience. i want to report unsafe crossing in our lane. the problem started one day ago.,Roads & Transport,Normal
immediate help needed. residents are affected by traffic signal at the main market for two hours.,Roads & Transport,Urgent
the local authority has not fixed the unsafe construction near the bus stand for two hours. it is accident may happen.,Public Safety,Urgent
causing inconvenience. the local authority has not fixed the transformer noise in our lane for two hours.,Electricity,Normal
i want to report irregular supply near the bus stand. the problem started a week ago. it is causing inconvenience.,Water Supply,Normal
please resolve the fallen tree near my house; it has continued for one day. it is requesting repair.,Public Safety,Normal
please resolve the exposed cable in sector 12; it has continued for two hours. it is please check.,Public Safety,Normal
please check. there is unsafe construction at the main market since several weeks.,Public Safety,Normal
needs attention. residents are affected by dirty water in sector 12 for several weeks.,Water Supply,Normal
kindly resolve. the local authority has not fixed the sparking wire in sector 12 for two hours.,Electricity,Normal
causing inconvenience. residents are affected by low voltage near my house for two hours.,Electricity,Normal
residents are affected by damaged cable beside the park for two hours. it is kindly resolve.,Internet & Telecom,Normal
accident may happen. there is damaged cable near my house since three days.,Internet & Telecom,Urgent
the local authority has not fixed the sewage mixed water near my house for three days. it is severe.,Water Supply,Urgent
causing inconvenience. the local authority has not fixed the bad smell in our lane for two hours.,Sanitation,Normal
residents are affected by bad smell at the crossing for three days. it is accident may happen.,Sanitation,Urgent
causing inconvenience. there is fire hazard in sector 12 since a week.,Public Safety,Normal
please inspect. i want to report pothole at the crossing. the problem started three days ago.,Roads & Transport,Normal
the local authority has not fixed the unsafe construction in sector 12 for two hours. it is children are at risk.,Public Safety,Urgent
there is low voltage beside the park since three days. it is kindly resolve.,Electricity,Normal
causing inconvenience. the local authority has not fixed the frequent disconnection in sector 12 for two hours.,Internet & Telecom,Normal
please inspect. please resolve the open manhole beside the park; it has continued for a week.,Public Safety,Normal
i want to report stray animal at the crossing. the problem started three days ago. it is needs attention.,Public Safety,Normal
requesting repair. there is open dumping at the crossing since one day.,Sanitation,Normal
accident may happen. residents are affected by unsafe crossing in sector 12 for one day.,Roads & Transport,Urgent
there is damaged cable at the crossing since one day. it is please check.,Internet & Telecom,Normal
needs attention. there is slow broadband beside the park since several weeks.,Internet & Telecom,Normal
there is open manhole near my house since one day. it is kindly resolve.,Public Safety,Normal
emergency. i want to report meter fault near the bus stand. the problem started two hours ago.,Electricity,Urgent
kindly resolve. the local authority has not fixed the pothole near my house for two hours.,Roads & Transport,Normal
please check. the local authority has not fixed the pothole beside the park for a week.,Roads & Transport,Normal
please check. i want to report low voltage at the main market. the problem started one day ago.,Electricity,Normal
requesting repair. please resolve the low voltage beside the park; it has continued for one day.,Electricity,Normal
residents are affected by fire hazard near my house for one day. it is kindly resolve.,Public Safety,Normal
i want to report unclean public toilet in sector 12. the problem started three days ago. it is please check.,Sanitation,Normal
residents are affected by no water outside the school for three days. it is kindly resolve.,Water Supply,Normal
the local authority has not fixed the fire hazard in sector 12 for several weeks. it is requesting repair.,Public Safety,Normal
immediate help needed. please resolve the dark street outside the school; it has continued for one day.,Public Safety,Urgent
the local authority has not fixed the low water pressure beside the park for two hours. it is please inspect.,Water Supply,Normal
requesting repair. please resolve the sparking wire near my house; it has continued for two hours.,Electricity,Normal
the local authority has not fixed the slow broadband at the crossing for one day. it is please inspect.,Internet & Telecom,Normal
the local authority has not fixed the garbage pile outside the school for a week. it is please check.,Sanitation,Normal
